Antall	Faregrad	Hovedskredproblem	Skredproblem	Skredtype	Hovedbudskap norsk	Hovedbudskap engelsk
32	Fg2 (28), Fg3 (4)	Fokksnø (32), Vedvarende svakt lag (4)	I fokksnøen (31), Lag med kantkornet snø (2), Kantkornet under skaren (2), Lag med løs nysnø (1)	Tørre flakskred (36)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø, særlig der snødekket er tynt f. eks. nær rygger og klipper.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
127	Fg2 (118), Fg3 (9)	Fokksnø (115), Vedvarende svakt lag (53), Våt snø (10)	I fokksnøen (69), Lag med løs nysnø (46), Lag med overflaterim (16), Kantkornet under skaren (14), Glatt skare (13), Lag med kantkornet snø (9), Regn/temperaturstigning (8), Snødekket er overmettet av vann (2), Kantkornet over skaren (1)	Tørre flakskred (168), Våte løssnøskred (10)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø, særlig der snødekket er tynt feks nær rygger og klipper.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
1	Fg2 (1)	Vedvarende svakt lag (2)	Lag med kantkornet snø (1), Glatt skare (1)	Tørre flakskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø, særlig der snødekket er tynt feks nær rygger og klipper. Svaktlag rundt skoggrensa.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Around treeline, a persistent weak layer can be hidden in the snowpack. The layer is recognized by a whumphing sound, and avalanches are most easily triggered where the snowcover is thin.
14	Fg2 (14)	Fokksnø (14)	I fokksnøen (14)	Tørre flakskred (14)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø, særlig der snødekket er tynt.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
55	Fg2 (39), Fg3 (16)	Fokksnø (55), Våt snø (9), Vedvarende svakt lag (3)	Lag med løs nysnø (29), I fokksnøen (26), Regn/temperaturstigning (9), Lag med kantkornet snø (2), Kantkornet under skaren (1)	Tørre flakskred (58), Våte løssnøskred (9)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med overflaterim (1)	Tørre flakskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø. Det finnes også lommer med et svakt lag av overflaterim i høyfjellet.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Pockets with buries surface hoar is also present in some locations.
4	Fg2 (4)	Fokksnø (4), Våt snø (4)	I fokksnøen (4), Regn/temperaturstigning (4)	Tørre flakskred (4), Våte løssnøskred (4)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø. Det kan gå naturlig utløste skred i nysnøen i bratte solutsatte heng.	Be careful in areas with wind deposited snow. Naturally released avalanches can occur in steep sun exposed faces.
2	Fg2 (2)	Fokksnø (2), Våt snø (2)	Lag med løs nysnø (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte løssnøskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø. Det kan gå naturlig utløste skred i nysnøen i bratte solvendte heng.	Be careful in areas with wind deposited snow. Naturally released avalanches can occur in steep sun exposed faces.
6	Fg2 (6)	Vedvarende svakt lag (6), Fokksnø (2)	Lag med overflaterim (6), I fokksnøen (2)	Tørre flakskred (8)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø. Fokksnøen kan ligge på et lag med overflaterim.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Wind deposited snow could rest on buried surface hoar.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte flakskred (1)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø. Høyt vanninnhold i snøen og regn gir fare for våte skred i lavlandet.	Be careful in lee areas with wind deposited snow. Wet snow and rain increases danger of wet avalanches at lower altitudes.
1	Fg3 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø. I lavlandet kan våte skred forekomme.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Below the snowline wet avalanches may occur.
2	Fg2 (2)	Fokksnø (2)	Lag med løs nysnø (1), I fokksnøen (1)	Tørre flakskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø. Merk at usikkerhet i vær prognoser gir usikkerhet i skredvarsel.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Note that uncertainty in weather forecast gives uncertainty in avalanche forecast.
2	Fg2 (2)	Vedvarende svakt lag (2), Fokksnø (2)	I fokksnøen (2), Kantkornet under skaren (2)	Tørre flakskred (4)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø. Mest framtredende i søndre del av varslingsområdet.	Be careful in lee areas with wind deposited snow.
2	Fg2 (2)	Fokksnø (2), Vedvarende svakt lag (1)	I fokksnøen (2), Kantkornet under skaren (1)	Tørre flakskred (3)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø. Mest framtredene i søndre del av varslingsområdet.	Be careful in lee areas with wind deposited snow.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø. Temperaturstigning gjennom gir mulighet for våte laussnøskred i nysnøen.	Be careful in lee areas with wind deposited snow. Wet snow and rain increases danger of wet avalanches at lower altitudes.
1	Fg2 (1)	Fokksnø (1)	I fokksnøen (1)	Tørre flakskred (1)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet fokksnø. kende skredfare til kvelden.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. increasing the danger level for the evening.
4	Fg2 (4)	Vedvarende svakt lag (4), Fokksnø (4)	I fokksnøen (4), Lag med overflaterim (4)	Tørre flakskred (8)	Vær forsiktig i leområder og andre terrengformasjoner som har samlet snø, stedvis kan det ligge rim under fokksnøen.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies. Buried surface hoar is a problem in some locations.
5	Fg2 (5)	Fokksnø (5), Våt snø (2)	I fokksnøen (5), Regn/temperaturstigning (2)	Tørre flakskred (5), Våte løssnøskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som samler fersk fokksnø.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
5	Fg2 (5)	Fokksnø (5), Våt snø (4)	I fokksnøen (5), Regn/temperaturstigning (4)	Tørre flakskred (5), Våte løssnøskred (4)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø i høyden.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø i høyden. Generelt stabile forhold der snøen er fuktig.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies. Generally stable conditions where the snow is moist.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø, særlig der snødekket er tynt f. eks. nær rygger og klipper.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
3	Fg2 (3)	Fokksnø (3)	I fokksnøen (3)	Tørre flakskred (3)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø, særlig der snødekket er tynt feks nær rygger og klipper.	Be careful in lee areas with wind deposited snow, typically behind ridges, ribs and in gullies.
2	Fg2 (2)	Fokksnø (2), Vedvarende svakt lag (1)	I fokksnøen (2), Kantkornet under skaren (1)	Tørre flakskred (3)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø, spesielt der gammel snøoverflate er glatt.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies. Be aware in areas where wind-deposited snow lies on top of the old icy snow surface.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte flakskred (1)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø, spesielt der gammel snøoverflate er glatt. Vær oppmerksom på våte skred i lavlandet.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies. Be aware in areas where wind-deposited snow lies on top of the old icy snow surface. Wet slides can occur in the low lands.
68	Fg2 (52), Fg3 (14), Fg1 (2)	Fokksnø (65), Vedvarende svakt lag (19), Våt snø (3)	I fokksnøen (51), Lag med løs nysnø (14), Kantkornet ved bakken (7), Kantkornet under skaren (6), Glatt skare (3), Regn/temperaturstigning (3), Lag med overflaterim (2), Kantkornet over skaren (1)	Tørre flakskred (80), Våte flakskred (5), Våte løssnøskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. Betydelig mer fokksnø i høyden.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. Betydelig større fokksnøansamlinger over 600moh.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies.
2	Fg3 (2)	Fokksnø (2), Vedvarende svakt lag (1)	Lag med løs nysnø (2), Lag med kantkornet snø (1)	Tørre flakskred (3)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. Den ferske fokksnøen kan ligge på et lag med rimkrystaller.	Avoid areas with fresh storm slabs. A weak layer of buried surface hoar may be present under the storm slabs. Also, a persistent weak layer of facets may be triggered, especially where the snow cover is thin.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Lag med kantkornet snø (1)	Tørre flakskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. Det kan finnes vedvarende svakt lag med kantkorn, samt lommer med nedsnødd rimkrystall.	Avoid areas with fresh storm slabs. A weak layer of buried surface hoar may be present under the storm slabs. Also, a persistent weak layer of facets may be triggered, especially where the snow cover is thin.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Kantkornet under skaren (1)	Tørre flakskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. Fjernutløsning av skred er mulig.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies. Remote triggering of avalanches is possible.
11	Fg2 (11)	Fokksnø (11), Nysnø (3)	Lag med løs nysnø (11), Ubundet løs snø (3)	Tørre flakskred (11), Tørre løssnøskred (3)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. Fokksnø kan ha lagt seg på et glatt underlag.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies. Be aware that slabs may be resting on a slippery surface.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Kantkornet over skaren (1)	Tørre flakskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. Fokksnøen kan ligge oppå en vedvarende svakt lag.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies. The wind deposited snow could rest on a weak layer of faceted snow.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Kantkornet over skaren (1)	Tørre flakskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. Fokksnøen kan ligge oppå et vedvarende svakt lag.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies. The wind deposited snow could rest on a weak layer of faceted snow.
2	Fg2 (2)	Fokksnø (2)	Lag med løs nysnø (1), I fokksnøen (1)	Tørre flakskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. I høyden kan fokksnøen ha lagt seg på et glatt underlag.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies. Be aware that at high elevation slabs may be resting on a slippery surface.
1	Fg2 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. I høyden kan fokksnøen kan ha lagt seg på et glatt underlag.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies. Be aware that at high elevation slabs may be resting on a slippery surface.
1	Fg2 (1)	Vedvarende svakt lag (1), Fokksnø (1)	I fokksnøen (1), Lag med overflaterim (1)	Tørre flakskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. Mest utsatt himmelretning skifter i løpet av dagen.	Be careful in areas with wind-deposited snow, typically behind ridges, ribs and in gullies. There are still week layers in the snowpack
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. Skredfaren er størst vest i regionen og vil øke utover dagen.	Be careful in areas with wind-deposited snow
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. Skredfaren er størst vest i regionen og vil øker utover dagen.	Be careful in areas with wind-deposited snow.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1)	Lag med løs nysnø (1), Kantkornet under skaren (1)	Tørre flakskred (2)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. Skredfaren er størst vest i regionen, og vil øke utover dagen.	Be careful in lee areas with wind deposited snow.
4	Fg3 (4)	Fokksnø (4)	Lag med løs nysnø (4)	Tørre flakskred (4)	Vær forsiktig i leområder og andre terrengformasjoner som samler fokksnø. Skredfaren er størst vest i regionen.	Be careful in areas with wind-deposited snow.
